############################
SERVER SIDE STARTED
############################


Starting resend nak thread
8320.60320902# Server sent data 000000531
8320.65382791# Server sent data 000000532
8320.70422196# Server sent data 000000533
8320.75561905# Server sent data 000000534
8320.80661392# Server sent data 000000535
8320.85766101# Server sent data 000000536
8320.90824103# Server sent data 000000537
8320.95920706# Server sent data 000000538
8321.01068497# Server sent data 000000539
8321.06185699# Server sent data 000000540
8321.11241007# Server sent data 000000541
8321.16292596# Server sent data 000000542
8321.21342897# Server sent data 000000543
8321.26398301# Server sent data 000000544
8321.3144381# Server sent data 000000545
8321.36492896# Server sent data 000000546
8321.415519# Server sent data 000000547
8321.46598005# Server sent data 000000548
8321.51648998# Server sent data 000000549
8321.56683898# Server sent data 000000550
8321.61775589# Server sent data 000000551
8321.66896391# Server sent data 000000552
8321.71940589# Server sent data 000000553
8321.77014494# Server sent data 000000554
8321.82088304# Server sent data 000000555
8321.87147593# Server sent data 000000556
8321.9230001# Server sent data 000000557
8321.97344804# Server sent data 000000558
8322.0246439# Server sent data 000000559
8322.07623792# Server sent data 000000560
8322.12669396# Server sent data 000000561
8322.17705798# Server sent data 000000562
8322.22736096# Server sent data 000000563
8322.27767706# Server sent data 000000564
8322.32805395# Server sent data 000000565
8322.37844992# Server sent data 000000566
8322.42902899# Server sent data 000000567
8322.47947407# Server sent data 000000568
8322.52989602# Server sent data 000000569
8322.58119106# Server sent data 000000570
8322.63161612# Server sent data 000000571
8322.68209195# Server sent data 000000572
8322.73244309# Server sent data 000000573
8322.78281212# Server sent data 000000574
8322.83332205# Server sent data 000000575
8322.88449693# Server sent data 000000576
8322.93494606# Server sent data 000000577
8322.98543406# Server sent data 000000578
8323.0360229# Server sent data 000000579
8323.08646607# Server sent data 000000580
8323.13763404# Server sent data 000000581
8323.18802691# Server sent data 000000582
8323.23843408# Server sent data 000000583
8323.28887391# Server sent data 000000584
8323.33947206# Server sent data 000000585
8323.3897481# Server sent data 000000586
8323.44005609# Server sent data 000000587
8323.49051094# Server sent data 000000588
8323.54091406# Server sent data 000000589
8323.59139705# Server sent data 000000590
8323.642272# Server sent data 000000591
8323.69287896# Server sent data 000000592
8323.74335003# Server sent data 000000593
8323.79437804# Server sent data 000000594
8323.84478807# Server sent data 000000595
8323.89544511# Server sent data 000000596
8323.94597197# Server sent data 000000597
8323.99710107# Server sent data 000000598
8324.04766393# Server sent data 000000599
8324.09882498# Server sent data 000000600
8324.14933205# Server sent data 000000601
8324.19976497# Server sent data 000000602
8324.250844# Server sent data 000000603
8324.30197692# Server sent data 000000604
8324.30321193# Server received NAK 603
8324.30340791# Server resent (NAK) 000000603
8324.35271192# Server sent data 000000605
8324.40345812# Server sent data 000000606
8324.45421791# Server sent data 000000607
8324.50483394# Server sent data 000000608
8324.555269# Server sent data 000000609
8324.60561299# Server sent data 000000610
8324.65606999# Server sent data 000000611
8324.70698905# Server sent data 000000612
8324.75752401# Server sent data 000000613
8324.80787301# Server sent data 000000614
8324.85905409# Server sent data 000000615
8324.90976405# Server sent data 000000616
8324.96013093# Server sent data 000000617
8325.01056194# Server sent data 000000618
8325.06162# Server sent data 000000619
8325.11198211# Server sent data 000000620
8325.16262794# Server sent data 000000621
8325.21306396# Server sent data 000000622
8325.26362395# Server sent data 000000623
8325.31408# Server sent data 000000624
8325.36476398# Server sent data 000000625
8325.41509891# Server sent data 000000626
8325.46571493# Server sent data 000000627
8325.51610303# Server sent data 000000628
8325.56749296# Server sent data 000000629
8325.61783504# Server sent data 000000630
8325.66849589# Server sent data 000000631
8325.71882701# Server sent data 000000632
8325.76925302# Server sent data 000000633
8325.81981802# Server sent data 000000634
8325.87031507# Server sent data 000000635
8325.92108297# Server sent data 000000636
8325.97248292# Server sent data 000000637
8326.02284193# Server sent data 000000638
8326.07334709# Server sent data 000000639
8326.12462997# Server sent data 000000640
8326.17508793# Server sent data 000000641
8326.22587895# Server sent data 000000642
8326.2764101# Server sent data 000000643
8326.32676291# Server sent data 000000644
8326.37718105# Server sent data 000000645
8326.42755699# Server sent data 000000646
8326.42910194# Server received NAK 645
8326.42927289# Server resent (NAK) 000000645
8326.47813201# Server sent data 000000647
8326.52856302# Server sent data 000000648
8326.5796771# Server sent data 000000649
8326.63013506# Server sent data 000000650
8326.68056011# Server sent data 000000651
8326.73180795# Server sent data 000000652
8326.78410697# Server sent data 000000653
8326.83454299# Server sent data 000000654
8326.88493991# Server sent data 000000655
8326.93546295# Server sent data 000000656
8326.98595905# Server sent data 000000657
8327.03652096# Server sent data 000000658
8327.0871191# Server sent data 000000659
8327.13792396# Server sent data 000000660
8327.18928409# Server sent data 000000661
8327.24015594# Server sent data 000000662
8327.29066396# Server sent data 000000663
8327.34131193# Server sent data 000000664
8327.39179802# Server sent data 000000665
8327.44228697# Server sent data 000000666
8327.49330211# Server sent data 000000667
8327.54396701# Server sent data 000000668
8327.594877# Server sent data 000000669
8327.64632201# Server sent data 000000670
8327.69685411# Server sent data 000000671
8327.74754596# Server sent data 000000672
8327.79838705# Server sent data 000000673
8327.84900904# Server sent data 000000674
8327.89943194# Server sent data 000000675
8327.95103502# Server sent data 000000676
8328.001436# Server sent data 000000677
8328.05191994# Server sent data 000000678
8328.10247111# Server sent data 000000679
8328.15327096# Server sent data 000000680
8328.2036891# Server sent data 000000681
8328.25436997# Server sent data 000000682
8328.30525899# Server sent data 000000683
8328.35562801# Server sent data 000000684
8328.40598989# Server sent data 000000685
8328.45640206# Server sent data 000000686
8328.50745702# Server sent data 000000687
8328.55798411# Server sent data 000000688
8328.60913491# Server sent data 000000689
8328.65951991# Server sent data 000000690
8328.71067691# Server sent data 000000691
8328.76109004# Server sent data 000000692
8328.81245589# Server sent data 000000693
8328.86382294# Server sent data 000000694
8328.91502404# Server sent data 000000695
8328.96556091# Server sent data 000000696
8329.01608396# Server sent data 000000697
8329.06643605# Server sent data 000000698
8329.11681199# Server sent data 000000699
8329.1671679# Server sent data 000000700
8329.21781707# Server sent data 000000701
8329.26825309# Server sent data 000000702
8329.26948404# Server received NAK 701
8329.26960111# Server resent (NAK) 000000701
8329.31875491# Server sent data 000000703
8329.37001395# Server sent data 000000704
8329.42061591# Server sent data 000000705
8329.47095394# Server sent data 000000706
8329.52143097# Server sent data 000000707
8329.57184696# Server sent data 000000708
8329.62242007# Server sent data 000000709
8329.67320395# Server sent data 000000710
8329.72430396# Server sent data 000000711
8329.77527189# Server sent data 000000712
8329.82563901# Server sent data 000000713
8329.87683797# Server sent data 000000714
8329.92746806# Server sent data 000000715
8329.97828603# Server sent data 000000716
8330.02883196# Server sent data 000000717
8330.07973504# Server sent data 000000718
8330.13073111# Server sent data 000000719
8330.18104792# Server sent data 000000720
8330.2318511# Server sent data 000000721
8330.28235102# Server sent data 000000722
8330.33292007# Server sent data 000000723
8330.38365006# Server sent data 000000724
8330.43417811# Server sent data 000000725
8330.48492098# Server sent data 000000726
8330.53528905# Server sent data 000000727
8330.58600497# Server sent data 000000728
8330.63652205# Server sent data 000000729
8330.68772292# Server sent data 000000730
8330.73868895# Server sent data 000000731
8330.78909802# Server sent data 000000732
8330.8397069# Server sent data 000000733
8330.89024591# Server sent data 000000734
8330.94058394# Server sent data 000000735
8330.99099302# Server sent data 000000736
8331.04128695# Server sent data 000000737
8331.0921371# Server sent data 000000738
8331.14254189# Server sent data 000000739
8331.19296288# Server sent data 000000740
8331.24331307# Server sent data 000000741
8331.29359102# Server sent data 000000742
8331.34414911# Server sent data 000000743
8331.39451599# Server sent data 000000744
8331.44501305# Server sent data 000000745
8331.49555993# Server sent data 000000746
8331.54601789# Server sent data 000000747
8331.59711909# Server sent data 000000748
8331.64782691# Server sent data 000000749
8331.69820094# Server sent data 000000750
8331.74857712# Server sent data 000000751
8331.79971695# Server sent data 000000752
8331.85101295# Server sent data 000000753
8331.9016459# Server sent data 000000754
8331.95311999# Server sent data 000000755
8332.00353599# Server sent data 000000756
8332.05397296# Server sent data 000000757
8332.1046021# Server sent data 000000758
8332.15607905# Server sent data 000000759
8332.20640397# Server sent data 000000760
8332.25667191# Server sent data 000000761
8332.30709696# Server sent data 000000762
8332.35757208# Server sent data 000000763
8332.40806699# Server sent data 000000764
8332.45858788# Server sent data 000000765
8332.50951195# Server sent data 000000766
8332.55990291# Server sent data 000000767
8332.610847# Server sent data 000000768
8332.66232491# Server sent data 000000769
8332.71282005# Server sent data 000000770
8332.76356292# Server sent data 000000771
8332.81440401# Server sent data 000000772
8332.86515188# Server sent data 000000773
8332.91553903# Server sent data 000000774
8332.96648097# Server sent data 000000775
8333.01686096# Server sent data 000000776
8333.06722307# Server sent data 000000777
8333.11858296# Server sent data 000000778
8333.16939402# Server sent data 000000779
8333.21988392# Server sent data 000000780
8333.27115011# Server sent data 000000781
8333.32240009# Server sent data 000000782
8333.32375097# Server received NAK 781
8333.32396603# Server resent (NAK) 000000781
8333.37343192# Server sent data 000000783
8333.42414999# Server sent data 000000784
8333.47512293# Server sent data 000000785
8333.5258379# Server sent data 000000786
8333.57646489# Server sent data 000000787
8333.6277411# Server sent data 000000788
8333.67833591# Server sent data 000000789
8333.72939491# Server sent data 000000790
8333.78058004# Server sent data 000000791
8333.83095098# Server sent data 000000792
8333.88137794# Server sent data 000000793
8333.9321959# Server sent data 000000794
